ID,Body_Temperature,Temp_Origin,Season
GS A1,27.6,Field,Summer
GS A1,36.37777778,Lab,Summer
GS A10,39.3,Field,Summer
GS A10,37.47777778,Lab,Summer
GS A11,31,Field,Summer
GS A11,35.45555556,Lab,Summer
GS A12,29.4,Field,Summer
GS A12,34.55555556,Lab,Summer
GS A13,31.3,Field,Summer
GS A13,35.63333333,Lab,Summer
GS A14,30.4,Field,Summer
GS A14,36.01111111,Lab,Summer
GS A15,35.3,Field,Summer
GS A15,37.9,Lab,Summer
GS A17,39.3,Field,Summer
GS A17,38.52222222,Lab,Summer
GS A18,29.9,Field,Summer
GS A18,37.78888889,Lab,Summer
GS A19,32.2,Field,Summer
GS A19,35.54444444,Lab,Summer
GS A2,32,Field,Summer
GS A2,35.17777778,Lab,Summer
GS A20,33,Field,Summer
GS A20,37.06666667,Lab,Summer
GS A21,31.6,Field,Summer
GS A21,33.91111111,Lab,Summer
GS A22,32.1,Field,Summer
GS A22,38.45555556,Lab,Summer
GS A23,37.2,Field,Summer
GS A23,35.58888889,Lab,Summer
GS A24,38,Field,Summer
GS A24,32.24444444,Lab,Summer
GS A25,29.3,Field,Summer
GS A25,36.46666667,Lab,Summer
GS A26,31,Field,Summer
GS A26,32.96666667,Lab,Summer
GS A27,38.4,Field,Summer
GS A27,37.73333333,Lab,Summer
GS A3,36.2,Field,Summer
GS A3,35.72222222,Lab,Summer
GS A4,31.7,Field,Summer
GS A4,30.21111111,Lab,Summer
GS A5,37.3,Field,Summer
GS A5,32.53333333,Lab,Summer
GS A6,36.5,Field,Summer
GS A6,32.72222222,Lab,Summer
GS A7,36.7,Field,Summer
GS A7,36.78888889,Lab,Summer
GS A8,38.3,Field,Summer
GS A8,35.46666667,Lab,Summer
GS A9,37.3,Field,Summer
GS A9,30.22222222,Lab,Summer
GS B1,32.2,Field,Winter
GS B1,32.17777778,Lab,Winter
GS B10,31.5,Field,Winter
GS B10,28.84444444,Lab,Winter
GS B11,28.8,Field,Winter
GS B11,35.26666667,Lab,Winter
GS B12,29.3,Field,Winter
GS B12,36.34444444,Lab,Winter
GS B13,30.4,Field,Winter
GS B13,32.82222222,Lab,Winter
GS B14,30.2,Field,Winter
GS B14,29.6,Lab,Winter
GS B15,27.9,Field,Winter
GS B15,35.28888889,Lab,Winter
GS B16,24,Field,Winter
GS B16,31.21111111,Lab,Winter
GS B17,27.4,Field,Winter
GS B17,28.95555556,Lab,Winter
GS B18,28.6,Field,Winter
GS B18,25.32222222,Lab,Winter
GS B19,30.1,Field,Winter
GS B19,31.25555556,Lab,Winter
GS B2,28.7,Field,Winter
GS B2,30.1,Lab,Winter
GS B20,28.2,Field,Winter
GS B20,31.1,Lab,Winter
GS B21,30.3,Field,Winter
GS B21,30.84444444,Lab,Winter
GS B22,31.9,Field,Winter
GS B22,31.05555556,Lab,Winter
GS B23,31.4,Field,Winter
GS B23,35.54444444,Lab,Winter
GS B24,31,Field,Winter
GS B24,27.41111111,Lab,Winter
GS B25,32.5,Field,Winter
GS B25,28.75555556,Lab,Winter
GS B26,29.9,Field,Winter
GS B26,34.9,Lab,Winter
GS B27,33.7,Field,Winter
GS B27,32.86666667,Lab,Winter
GS B28,31.6,Field,Winter
GS B28,31.65555556,Lab,Winter
GS B29,29.4,Field,Winter
GS B29,32.55555556,Lab,Winter
GS B3,30.3,Field,Winter
GS B3,33.04444444,Lab,Winter
GS B30,31.9,Field,Winter
GS B30,32.04444444,Lab,Winter
GS B4,32.8,Field,Winter
GS B4,32.84444444,Lab,Winter
GS B5,31.8,Field,Winter
GS B5,32.37777778,Lab,Winter
GS B6,30.3,Field,Winter
GS B6,34.96666667,Lab,Winter
GS B7,33.3,Field,Winter
GS B7,28.26666667,Lab,Winter
GS B8,32,Field,Winter
GS B8,32.02222222,Lab,Winter
GS B9,30.4,Field,Winter
GS B9,31.98888889,Lab,Winter
